Reject	Accept
ESRRA	0.719	0.696
FOXA1	0.776	0.719
POU3F4	0.244	0.006
EN1	0.405	0.301
RUNX1	0.831	0.826
GATA	0	0
TCF7	0.393	0
TCF3	0.297	0
TP63	0.763	0.768
MAF	0.164	0
GCM	0.272	0
TFCP2L1	0.089	0
CCDC6	0.327	0
ZNF628	0.318	0
AFP	0.333	0
IRF2	0.119	0
IRF1	0.442	0.119
IRF7	0.338	0
IRF4	0.453	0.21
TBP	0.545	0.451
IRF9	0.029	0
IRF8	0.282	0
MEF2B	0.077	0
MEF2A	0.59	0.523
MEF2D	0.486	0.319
PDX1	0.226	0
CREB	0	0
ISX	0.158	0
ONECUT3	0.237	0
ONECUT2	0.233	0
ONECUT1	0.226	0
ZNF232	0.337	0
CBX5	0	0
ZBTB12	0.354	0
ZBTB16	0.378	0.027
ZBTB14	0.112	0
ZBTB18	0.286	0
USF1	0.38	0
TBX15	0.307	0.066
FOXB1	0.44	0.34
SOX21	0.538	0.498
NR1H	0.017	0
TBX19	0.26	0
FOXL1	0.387	0.065
DMRTA2	0.235	0
HOXA5	0	0
HOXA3	0.327	0
NRF1	0.708	0.671
NFYA	0.656	0.651
SOX9	0.259	0.129
POU1F1	0.502	0.433
MYBL1	0.056	0
SOX3	0.512	0.421
SOX1	0.517	0.476
SOX7	0.393	0.324
SOX4	0.114	0
SOX5	0.035	0
CEBPB	0.737	0.724
CEBPA	0.644	0.566
CEBPG	0	0
MZF1	0	0
CEBPD	0.046	0
ALX3	0.144	0
ALX1	0.436	0.332
POU	0.052	0
ZNF8	0.374	0
ALX4	0.42	0.293
EOMES	0.629	0.605
SEF1	0.3	0
ETS1	0.566	0.538
AHR::ARNT	0.14	0
CDC5L	0	0
ZBTB6	0.327	0
NR4A2	0	0
PPARG	0.812	0.828
DRGX	0.176	0
EBF1	0.794	0.847
PBX1	0.442	0.179
AIRE	0.522	0.508
NRL	0.208	0
TLX2	0.245	0
ZNF713	0.333	0
POU2F2	0.724	0.714
POU2F3	0.312	0.074
TGIF1	0.01	0
ZNF652	0.299	0
HSF1	0.847	0.895
HSF2	0.409	0
HSF4	0.128	0
PAX	0.295	0
TBX20	0.471	0.391
BBX	0	0
MEIS1	0.646	0.612
TOPORS	0.353	0
SOX30	0.033	0
ZNF384	0	0
BHLHE40	0.236	0
THRB	0.609	0.53
RORA	0.09	0
THRA	0.191	0
POU6F2	0.177	0
POU6F1	0.19	0
NKX2-4	0.018	0
CREB3	0	0
CREB1	0.162	0
NR2C2	0.472	0.302
TCF7L1	0.125	0
TCF7L2	0.836	0.851
RUNX2	0.705	0.722
RUNX3	0.201	0.024
FOXA2	0.476	0.272
PRRX1	0.163	0
DUX4	0.264	0
CRX	0.298	0
HIF1A	0.166	0
GCM1	0.487	0.39
VENTX	0.35	0
HOXB9	0	0
ZSCAN4	0.512	0.438
EGR2	0.621	0.514
EGR3	0.005	0
EGR1	0.505	0.294
MEIS3	0.014	0
MEIS2	0.005	0
EGR4	0.009	0
HOMEZ	0.336	0
NFE2	0.308	0
RREB1	0.351	0
LBX2	0.31	0
PAX5	0.938	0.946
PAX4	0.713	0.666
PAX7	0.478	0.301
PAX6	0	0
PAX1	0.359	0.181
PAX3	0.802	0.82
PAX2	0.06	0
ZNF589	0.268	0
BACH2	0.158	0
PAX9	0.058	0
PKNOX1	0.009	0
PKNOX2	0.007	0
ESR2	0.169	0
CUX1	0.628	0.635
INSM1	0.318	0
BACH1	0.152	0
HLTF	0.345	0
DUXA	0.186	0
YY1	0.795	0.848
SMAD	0.103	0
TBX2	0.27	0.043
TBX1	0.634	0.591
TBX4	0.29	0.045
TBX5	0.537	0.445
MEOX2	0.731	0.713
STAT6	0.134	0
STAT3	0.101	0
CEBP	0.33	0
HOXA13	0.576	0.516
HOXA11	0.346	0
PAX8	0.051	0
ZBED1	0.377	0.064
TAL1	0.419	0
MYEF2	0.089	0
FOXD2	0	0
FOXD3	0.227	0
GMEB2	0.541	0.439
TP53	0.922	0.923
SRY	0.573	0.53
ZSCAN26	0.351	0
NEUROD2	0.208	0
ESR1	0.942	0.978
SOX8	0.511	0.487
NFATC1	0.291	0.185
GABPA	0.357	0
CDX	0.369	0
FOXO3	0.03	0
SOX2	0.738	0.739
FOXO1	0.604	0.549
FOXO6	0.396	0.276
FOXO4	0.03	0
TEAD3	0.402	0.289
TEAD1	0.403	0.255
TEAD4	0.761	0.76
MYBL2	0.174	0
TFAP2A	0.911	0.942
TFAP2C	0.87	0.9
TFAP2B	0.232	0
UNCX	0.17	0
TGIF2LX	0.011	0
SOX	0.3	0
PLAG1	0.351	0
PRDM1	0.134	0
POU3F3	0.44	0.341
POU3F2	0.882	0.885
POU3F1	0.247	0.006
ZBTB7A	0.58	0.516
ZBTB7C	0.139	0
ZBTB7B	0.242	0
OSR1	0.319	0
OSR2	0.327	0
POU5F1	0.781	0.77
ARX	0.169	0
DMRTA1	0.234	0
HBP1	0.362	0.04
TFCP2	0.704	0.692
SP100	0.289	0
CDX2	0.691	0.725
NKX2-8	0	0
MAFK	0.947	0.964
NKX2-2	0.01	0
NKX2-3	0.341	0.074
MAFB	0	0
NKX2-1	0.534	0.4
NKX2-6	0.018	0
MAFF	0.328	0
NKX2-5	0.156	0
ETS2	0.004	0
ZNF143	0.859	0.88
RBPJ	0.282	0
ZNF784	0.344	0
MYC	0.525	0.363
MYB	0.811	0.779
FLI1	0.678	0.667
KLF4	0.058	0
T	0.284	0.111
NFAT5	0.635	0.616
BARHL2	0.425	0.285
BARHL1	0.27	0.048
ZKSCAN3	0.328	0
ZNF35	0.367	0.051
HOXC9	0.036	0
VDR	0.603	0.595
FOXK1	0.005	0
HESX1	0	0
GLIS3	0.145	0
CPHX	0.186	0
OTX1	0.153	0
OTX2	0.173	0
ESRRG	0.138	0
NR5A2	0	0
NEUROG2	0.3	0
ZBTB33	0	0
ZNF282	0.316	0
DDIT3::CEBPA	0.24	0
BHLHA15	0.299	0
PBX	0.184	0
MAFG	0.416	0.043
STAT1	0.604	0.538
HNF4A	0.866	0.873
HOXD10	0	0
HOXD11	0	0
POU4F3	0.198	0
DMRT1	0.222	0
DMRT3	0.219	0
IKZF1	0.276	0
IKZF3	0.153	0
GBX2	0.204	0
NANOG	0.142	0
NR6A1	0.318	0
TEF	0.334	0
GLIS2	0.148	0
NFKB1	0.37	0
NFKB2	0.012	0
ESRRB	0.085	0
HMGA1	0.364	0
PROX1	0.328	0
ZNF524	0.313	0
MTF1	0.449	0.174
STAT5A	0.603	0.528
SREBF1	0.348	0.003
NKX3-2	0.019	0
NKX3-1	0.608	0.595
HMX3	0.354	0
FOXG1	0.112	0
RHOXF1	0.219	0
ELF1	0.27	0
SRF	0.76	0.756
XBP1	0.031	0
GRHL1	0.69	0.69
RUNX	0.026	0
BHLHE22	0.286	0
BHLHE23	0.293	0
NR2E1::NFIC	0.063	0
MSX1	0.458	0.361
MSX2	0.299	0
ZNF410	0.328	0
NR3C2	0.109	0
NR3C1	0.603	0.479
RXRA	0.887	0.865
POU4F1	0.203	0
POU4F2	0.188	0
AR	0.817	0.858
NR2E1	0.378	0.226
ZBTB49	0.311	0
FOXN1	0.3	0
NFIC	0.353	0
NFIB	0.326	0
NFIA	0.059	0
ATF6	0.027	0
GFI1	0.564	0.534
TGIF2	0.008	0
CREB3L2	0.022	0
CREB3L1	0.018	0
ATF4	0	0
BCL6B	0.27	0
POU2F1	0.374	0.199
ATF1	0.002	0
ATF3	0.224	0
ATF2	0.096	0
